--- Execution profile ---
Total samples:         162969
Non-Java:              3461 (2.12%)
Unknown (native):      5550 (3.41%)
Not walkable (native): 26 (0.02%)
Unknown (Java):        20146 (12.36%)
Not walkable (Java):   475 (0.29%)
Deopt:                 6 (0.00%)

Frame buffer usage:    28.2024%

      events  percent  samples  top
  ----------  -------  -------  ---
    12746625    7.82%    12764  reactor.core.publisher.FluxFlatMap$FlatMapInner.onSubscribe
     8182080    5.02%     8192  reactor.core.publisher.FluxFlatMap$FlatMapMain.onNext
     7256553    4.45%     7268  reactor.core.publisher.MonoIgnoreThen$ThenIgnoreMain.drain
     7050958    4.33%     7060  reactor.core.publisher.Mono.onAssembly
     6489860    3.98%     6508  io.netty.util.Recycler.get
     4795503    2.94%     4807  reactor.core.publisher.Operators$MonoSubscriber.request
     4663164    2.86%     4672  reactor.core.publisher.Operators.setOnce
     4613113    2.83%     4627  io.netty.channel.AbstractChannelHandlerContext.write
     3687782    2.26%     3696  reactor.core.publisher.FluxRange$RangeSubscription.request
     3247103    1.99%     3255  reactor.core.publisher.MonoIgnoreThen$ThenAcceptInner.onSubscribe
     2423184    1.49%     2430  io.netty.util.collection.IntObjectHashMap.put
     1955588    1.20%     1960  java.util.concurrent.atomic.AtomicIntegerFieldUpdater$AtomicIntegerFieldUpdaterImpl.getAndSet
     1748854    1.07%     1755  reactor.core.publisher.FluxPeek$PeekSubscriber.onNext
     1590185    0.98%     1596  itable stub
     1586830    0.97%     1591  java.util.concurrent.atomic.AtomicIntegerFieldUpdater$AtomicIntegerFieldUpdaterImpl.accessCheck
     1564208    0.96%     1568  java.util.concurrent.atomic.AtomicReferenceFieldUpdater$AtomicReferenceFieldUpdaterImpl.accessCheck
     1446017    0.89%     1450  io.netty.channel.AbstractChannelHandlerContext.isNotValidPromise
     1311469    0.80%     1315  io.netty.util.collection.IntObjectHashMap.put
     1200317    0.74%     1188  copy_user_enhanced_fast_string_[k]
     1171198    0.72%     1174  io.netty.util.ReferenceCountUtil.touch
     1159820    0.71%     1163  java.util.concurrent.atomic.AtomicIntegerFieldUpdater$AtomicIntegerFieldUpdaterImpl.getAndAdd
     1156023    0.71%     1158  reactor.core.publisher.InnerOperator.currentContext
     1153398    0.71%     1155  java_lang_Throwable::fill_in_stack_trace(Handle, methodHandle const&, Thread*)
     1142899    0.70%     1144  BacktraceBuilder::push(Method*, int, Thread*)
     1141030    0.70%     1144  java.lang.Object.<init>
     1124679    0.69%     1128  io.netty.buffer.AbstractReferenceCountedByteBuf.retain0
     1071545    0.66%     1073  reactor.core.publisher.FluxRange$RangeSubscription.slowPath
      999733    0.61%     1001  reactor.core.publisher.Mono.doOnNext
      997820    0.61%      998  reactor.core.publisher.Operators.validate
      968132    0.59%      970  reactor.core.publisher.MonoDoFinally.subscribe
      921409    0.57%      924  reactor.core.publisher.MonoOperator.<init>
      802204    0.49%      804  reactor.core.publisher.FluxPeek$PeekSubscriber.currentContext
      794920    0.49%      797  java.lang.Number.<init>
      707849    0.43%      708  AccessInternal::PostRuntimeDispatch<G1BarrierSet::AccessBarrier<1097844ul, G1BarrierSet>, (AccessInternal::BarrierType)2, 1097844ul>::oop_access_barrier(void*)
      648623    0.40%      649  reactor.core.publisher.Mono.doOnSignal
      636437    0.39%      639  reactor.core.publisher.MonoProcessor.onNext
      614424    0.38%      616  reactor.core.publisher.FluxDoFinally$DoFinallySubscriber.request
      570178    0.35%      571  io.rsocket.transport.netty.SendPublisher$InnerSubscriber.tryDrain
      529065    0.32%      529  jlong_disjoint_arraycopy
      523768    0.32%      523  __memcpy_sse2_unaligned_erms
      506598    0.31%      508  java.util.concurrent.atomic.AtomicReferenceFieldUpdater$AtomicReferenceFieldUpdaterImpl.valueCheck
      495285    0.30%      497  java.util.concurrent.atomic.AtomicLongFieldUpdater$CASUpdater.incrementAndGet
      493474    0.30%      494  io.netty.buffer.PoolArena.allocate
      489302    0.30%      491  io.rsocket.internal.UnicastMonoProcessor.onNext
      483032    0.30%      484  io.netty.util.internal.InternalThreadLocalMap.newIndexedVariableTable
      443885    0.27%      445  reactor.core.publisher.MonoProcessor.<init>
      440465    0.27%      442  io.netty.channel.AbstractChannelHandlerContext.findContextOutbound
      433310    0.27%      434  io.rsocket.internal.UnicastMonoProcessor.subscribe
      413187    0.25%      401  io.netty.buffer.PoolThreadCache$MemoryRegionCache.free
      407302    0.25%      409  io.netty.util.AbstractReferenceCounted.release0
      400312    0.25%      401  io.netty.buffer.AbstractByteBuf.checkIndexBounds
      382191    0.23%      383  CodeHeap::find_blob_unsafe(void*) const
      375801    0.23%      377  io.netty.buffer.AbstractReferenceCountedByteBuf.release0
      368237    0.23%      369  itable stub
      347982    0.21%      348  Klass::java_mirror() const
      343645    0.21%      344  io.netty.buffer.PooledByteBuf.deallocate
      340937    0.21%      342  reactor.util.concurrent.MpscLinkedQueue$LinkedQueueNode.soNext
      315987    0.19%      315  __memset_avx2_unaligned_erms
      306956    0.19%      306  MemAllocator::allocate() const
      302227    0.19%      303  io.netty.util.collection.IntObjectHashMap.objectToKey
      298396    0.18%      299  register_finalizer Runtime1 stub
      287485    0.18%      288  io.netty.buffer.PoolChunk.initBufWithSubpage
      285793    0.18%      286  AccessInternal::PostRuntimeDispatch<G1BarrierSet::AccessBarrier<2670710ul, G1BarrierSet>, (AccessInternal::BarrierType)1, 2670710ul>::oop_access_barrier(oopDesc*, long, oopDesc*)
      279254    0.17%      271  io.netty.buffer.PoolThreadCache.trim
      270811    0.17%      265  _raw_spin_lock_irqsave_[k]
      263577    0.16%      258  AbsSeq::davg() const
      254321    0.16%      255  itable stub
      253857    0.16%      254  io.netty.util.concurrent.DefaultPromise.setUncancellable
      253333    0.16%      254  io.netty.buffer.AbstractByteBuf.slice
      253207    0.16%      250  copy_user_generic_unrolled_[k]
      245331    0.15%      246  io.netty.util.internal.InternalThreadLocalMap.slowGet
      241075    0.15%      238  [unknown]
      237670    0.15%      238  io.netty.channel.ChannelOutboundBuffer.isFlushedEntry
      235991    0.14%      237  reactor.core.publisher.FluxDoFinally$DoFinallySubscriber.onNext
      234351    0.14%      235  java.util.concurrent.atomic.AtomicLongFieldUpdater$CASUpdater.accessCheck
      232229    0.14%      233  reactor.core.publisher.FluxGroupBy$UnicastGroupedFlux.drainRegular
      228469    0.14%      225  G1CollectionSet::add_eden_region(HeapRegion*)
      224913    0.14%      226  [vdso]
      224245    0.14%      222  G1FromCardCache::clear(unsigned int)
      224227    0.14%      225  reactor.core.publisher.MonoFlatMapMany$FlatMapManyInner.currentContext
      223573    0.14%      224  reactor.core.publisher.FluxPeekFuseable$PeekFuseableSubscriber.currentContext
      215169    0.13%      213  G1Allocator::unsafe_max_tlab_alloc()
      206873    0.13%      207  nmethod::is_zombie() const
      206377    0.13%      206  io.netty.buffer.PooledByteBuf.<init>
      206377    0.13%      207  io.netty.util.AbstractReferenceCounted.setRefCnt
      205422    0.13%      206  reactor.core.publisher.MonoProcessor.<init>
      199237    0.12%      198  __memset_avx2_erms
      198715    0.12%      199  reactor.core.publisher.Mono.subscribe
      195294    0.12%      196  reactor.util.concurrent.MpscLinkedQueue$LinkedQueueNode.<init>
      194311    0.12%      195  java.util.concurrent.atomic.AtomicReferenceFieldUpdater$AtomicReferenceFieldUpdaterImpl.getAndSet
      182087    0.11%      181  ch.qos.logback.classic.LoggerContext.getTurboFilterChainDecision_0_3OrMore
      179465    0.11%      180  io.netty.buffer.AbstractByteBuf.slice
      179109    0.11%      179  BacktraceBuilder::expand(Thread*)
      178515    0.11%      179  reactor.core.publisher.Mono.<init>
      177788    0.11%      177  OptoRuntime::new_instance_C(Klass*, JavaThread*)
      172662    0.11%      169  update_wall_time_[k]
      169332    0.10%      170  reactor.core.publisher.MonoIgnoreThen$ThenAcceptInner.onNext
      169310    0.10%      169  ObjArrayAllocator::initialize(HeapWord*) const
      169232    0.10%      165  HeapRegionType::get_trace_type()
      168575    0.10%      167  ThreadLocalAllocBuffer::fill(HeapWord*, HeapWord*, unsigned long)
      168354    0.10%      169  java.util.concurrent.atomic.AtomicIntegerFieldUpdater$AtomicIntegerFieldUpdaterImpl.set
      167478    0.10%      168  __vdso_clock_gettime
      167475    0.10%      165  copy_page_to_iter_[k]
      166743    0.10%      164  update_load_avg_[k]
      165524    0.10%      166  io.netty.channel.epoll.AbstractEpollChannel.doBeginRead
      165351    0.10%      166  reactor.core.publisher.FluxFlatMap$FlatMapMain.innerComplete
      165133    0.10%      165  io.netty.channel.AbstractChannelHandlerContext.invokeChannelReadComplete
